Timestamp (UTC),Inverter Serial,Port Number,DC Power (W),DC Voltage (V),Daily Energy (Wh)
2026-09-09T04:10:00Z,1420b03150a1,2,0.0,0.0,0.0
2026-09-09T04:10:00Z,1420b03150a1,3,0.0,0.0,0.0
2026-09-09T04:10:00Z,1420b03150a1,4,0.0,0.0,0.0
2026-09-09T04:10:00Z,1420b0315189,1,0.0,0.0,0.0
2026-09-09T04:10:00Z,1420b0315189,2,0.0,0.0,0.0
2026-09-09T04:10:00Z,1420b0315189,3,0.0,0.0,0.0
2026-09-09T04:10:00Z,1420b0315189,4,0.0,0.0,0.0
2026-09-09T04:10:00Z,1420b03153ec,1,0.0,0.0,0.0
2026-09-09T04:10:00Z,1420b03153ec,2,0.0,0.0,0.0
2026-09-09T04:10:00Z,1420b03153ec,3,0.0,0.0,0.0
2026-09-09T04:10:00Z,1420b03153ec,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03145c2,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03145c2,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03145c2,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314618,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314618,2,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314618,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314618,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03146bb,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03146bb,2,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03146bb,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03146bb,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03146fc,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03146fc,2,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03146fc,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03146fc,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314cf5,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314cf5,2,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314cf5,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314cf5,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314d19,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314d19,2,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314d19,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314d19,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314d25,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314d25,2,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314d25,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314d25,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314df9,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314df9,2,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314df9,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314df9,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314f85,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314f85,2,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314f85,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0314f85,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03150a1,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03150a1,2,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03150a1,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03150a1,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0315189,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0315189,2,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0315189,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b0315189,4,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03153ec,1,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03153ec,2,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03153ec,3,0.0,0.0,0.0
2026-09-09T04:20:00Z,1420b03153ec,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03145c2,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03145c2,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03145c2,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314618,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314618,2,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314618,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314618,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03146bb,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03146bb,2,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03146bb,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03146bb,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03146fc,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03146fc,2,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03146fc,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03146fc,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314cf5,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314cf5,2,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314cf5,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314cf5,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314d19,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314d19,2,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314d19,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314d19,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314d25,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314d25,2,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314d25,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314d25,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314df9,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314df9,2,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314df9,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314df9,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314f85,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314f85,2,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314f85,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0314f85,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03150a1,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03150a1,2,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03150a1,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03150a1,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0315189,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0315189,2,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0315189,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b0315189,4,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03153ec,1,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03153ec,2,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03153ec,3,0.0,0.0,0.0
2026-09-09T04:30:00Z,1420b03153ec,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03145c2,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03145c2,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03145c2,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314618,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314618,2,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314618,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314618,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03146bb,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03146bb,2,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03146bb,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03146bb,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03146fc,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03146fc,2,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03146fc,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03146fc,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314cf5,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314cf5,2,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314cf5,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314cf5,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314d19,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314d19,2,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314d19,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314d19,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314d25,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314d25,2,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314d25,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314d25,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314df9,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314df9,2,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314df9,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314df9,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314f85,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314f85,2,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314f85,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0314f85,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03150a1,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03150a1,2,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03150a1,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03150a1,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0315189,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0315189,2,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0315189,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b0315189,4,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03153ec,1,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03153ec,2,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03153ec,3,0.0,0.0,0.0
2026-09-09T04:40:00Z,1420b03153ec,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03145c2,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03145c2,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03145c2,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314618,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314618,2,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314618,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314618,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03146bb,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03146bb,2,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03146bb,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03146bb,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03146fc,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03146fc,2,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03146fc,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03146fc,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314cf5,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314cf5,2,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314cf5,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314cf5,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314d19,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314d19,2,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314d19,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314d19,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314d25,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314d25,2,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314d25,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314d25,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314df9,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314df9,2,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314df9,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314df9,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314f85,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314f85,2,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314f85,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0314f85,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03150a1,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03150a1,2,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03150a1,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03150a1,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0315189,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0315189,2,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0315189,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b0315189,4,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03153ec,1,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03153ec,2,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03153ec,3,0.0,0.0,0.0
2026-09-09T04:50:00Z,1420b03153ec,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03145c2,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03145c2,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03145c2,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314618,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314618,2,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314618,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314618,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03146bb,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03146bb,2,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03146bb,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03146bb,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03146fc,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03146fc,2,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03146fc,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03146fc,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314cf5,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314cf5,2,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314cf5,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314cf5,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314d19,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314d19,2,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314d19,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314d19,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314d25,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314d25,2,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314d25,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314d25,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314df9,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314df9,2,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314df9,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314df9,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314f85,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314f85,2,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314f85,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0314f85,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03150a1,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03150a1,2,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03150a1,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03150a1,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0315189,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0315189,2,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0315189,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b0315189,4,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03153ec,1,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03153ec,2,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03153ec,3,0.0,0.0,0.0
2026-09-09T05:00:00Z,1420b03153ec,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03145c2,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03145c2,3,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03145c2,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314618,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314618,2,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314618,3,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314618,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03146bb,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03146bb,2,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03146bb,3,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03146bb,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03146fc,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03146fc,2,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03146fc,3,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03146fc,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314cf5,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314cf5,2,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314cf5,3,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314cf5,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314d19,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314d19,2,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314d19,3,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314d19,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314d25,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314d25,2,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314d25,3,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314d25,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314df9,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314df9,2,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314df9,3,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314df9,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314f85,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314f85,2,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314f85,3,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0314f85,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03150a1,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03150a1,2,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03150a1,3,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03150a1,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0315189,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0315189,2,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0315189,3,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b0315189,4,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03153ec,1,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03153ec,2,0.0,0.0,0.0
2026-09-09T05:10:00Z,1420b03153ec,3,0.0,0.0,0.0
